post_id,group_b,u_stat,p_value,p_bonferroni,significant
2d350a21-f313-4f28-816c-9d9a6fea17c5,64d4b72b-9f28-4485-89b5-3c660ba6d56a,1076.0,0.07180690919453997,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,70d71186-1584-4fe7-9011-8da9023d99c5,595.0,0.45447475456824993,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,1558.5,0.4368908176387174,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,95598338-58a5-4158-a0dc-d278051de7e4,1350.0,0.5876766531203902,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,961575fd-2c8d-4377-8996-bd0cfc14c2f8,1188.0,0.05930605171342964,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,1773.5,0.13926929571305435,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,2234.5,0.21463562124553948,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1617.5,0.009169332423774558,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,a03f5521-872d-4ed0-bd8b-b6331f559c2d,195.5,0.06806390405795022,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,b4b5482a-31db-4470-8bab-990fa169aadd,2207.0,0.016062860083502984,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,c532ced8-5890-4879-b545-bd3cf75a65ee,1458.0,0.112231548193484,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,566.5,0.2719122248432001,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,1644.0,0.14921596795599798,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,f92250dd-b7bc-4af7-8d55-79ade4af5198,1387.5,0.635775336592009,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,fb9f496a-17de-4fa3-9d8b-c464152258fb,1596.0,0.8513294286481353,1.0,False
2d350a21-f313-4f28-816c-9d9a6fea17c5,fbb54109-bdf2-4043-b4b3-74884f13ee13,252.5,0.5075367212676551,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,38a336d5-dfa7-4211-88d6-6368c4b9b840,3473.0,0.01967805278217191,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,64d4b72b-9f28-4485-89b5-3c660ba6d56a,1224.0,0.40760831103812134,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,70d71186-1584-4fe7-9011-8da9023d99c5,670.0,0.9758646306838458,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,1729.0,0.07460035270553272,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,95598338-58a5-4158-a0dc-d278051de7e4,1500.0,0.13003140506929167,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,961575fd-2c8d-4377-8996-bd0cfc14c2f8,1352.0,0.37456137512473087,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,1959.0,0.012611277678189144,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,9f2082ba-ccb7-414b-8dbe-5dd9ebbb1b65,2473.0,0.0193705842599274,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,9f5c7820-074d-4dc8-b3b7-7471147d07f1,1775.0,0.0004276011932037984,0.09877587563007743,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,a03f5521-872d-4ed0-bd8b-b6331f559c2d,227.0,0.21126546918396427,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,b4b5482a-31db-4470-8bab-990fa169aadd,2518.0,0.2064700876161668,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,c532ced8-5890-4879-b545-bd3cf75a65ee,1652.0,0.5864821253962809,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,d9c0f9c8-f9a5-4197-ba42-a4ce8a47edcc,641.0,0.7577774625452962,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,dcb7dcff-8a32-4eed-bca8-0929d5a6d326,1816.0,0.014872760233794542,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,f92250dd-b7bc-4af7-8d55-79ade4af5198,1555.0,0.5952626783284518,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,fb9f496a-17de-4fa3-9d8b-c464152258fb,1784.0,0.39625246600411634,1.0,False
35e3ca66-f1bd-4517-a2a6-a3f2e950eb2c,fbb54109-bdf2-4043-b4b3-74884f13ee13,285.0,0.9282818769673454,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,64d4b72b-9f28-4485-89b5-3c660ba6d56a,1700.0,0.001990419250162248,0.4597868467874793,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,70d71186-1584-4fe7-9011-8da9023d99c5,951.0,0.09757829543515475,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,71fb50b0-4ff9-4e7b-a581-85c1ae19c45e,2532.5,0.8349046442159839,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,95598338-58a5-4158-a0dc-d278051de7e4,2190.0,0.6639223580313081,1.0,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,961575fd-2c8d-4377-8996-bd0cfc14c2f8,1876.0,0.0012321213846604668,0.2846200398565678,False
38a336d5-dfa7-4211-88d6-6368c4b9b840,9ce7a471-7c3c-48ee-9b19-9c727b7219f4,2895.5,0.5760347512195527,1.0,False
